模型配置,Best F1,Precision,Recall,Best Epoch
Baseline-CNN,0.6972429752349854,0.746387243270874,0.6660372018814087,26
+Graph-GCN,0.4175291359424591,0.5111405849456787,0.386508971452713,30
+Graph-GAT,0.1657940000295639,0.1482429802417755,0.19542616605758667,7
+Fusion,0.5602799654006958,0.6647552251815796,0.531915009021759,30
Full-AdaGAT,0.5569420456886292,0.6064951419830322,0.5286260843276978,30
