模型,Best F1,Precision,Recall,Best Epoch
EfficientNet-B0,0.7121645212173462,0.758064866065979,0.6819003224372864,12
DenseNet-121,0.7115815281867981,0.7559742331504822,0.6821158528327942,27
ResNet-50,0.6999000310897827,0.7244676351547241,0.6832143068313599,30
ResNet-101,0.693879246711731,0.7331019639968872,0.6711649298667908,29
Our-AdaGAT,0.5521085262298584,0.6048411130905151,0.5234497785568237,30
ViT-B-16,0.4983294606208801,0.6524964570999146,0.45642492175102234,30
